AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
4000.0,1.0,1.0,492.0,278.0,7.0,3.0,1.0,0.0,0.0,0.0,3.0,121.0,9.92,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
35000.0,31.0,1.0,592.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,7.0,331.0,8.09,1672.0,1641.0,53.0,3850.0,1041.0,1.0
26000.0,16.0,1.0,294.0,31.0,1.0,2.0,3.0,0.0,0.0,0.0,9.0,539.0,8.58,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
500000.0,32.0,3.0,2291.0,109.0,3.0,4.0,3.0,1.0,1.0,1031.0,12.0,282.0,8.68,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
250000.0,5.0,1.0,930.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,14.0,805.0,11.78,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
100000.0,5.0,1.0,574.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,10.0,394.0,11.59,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,1.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,1.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,0.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,1.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,1.0
10000.0,7.0,1.0,554.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,178.0,11.34,1530.0,611.0,55.0,2102.0,582.0,1.0
10000.0,5.0,1.0,1604.0,15.0,1.0,3.0,2.0,1.0,0.0,0.0,8.0,259.0,10.22,3019.0,470.0,125.0,2771.0,1752.0,1.0
10000.0,13.0,1.0,763.0,302.0,2.0,3.0,1.0,1.0,1.0,1915.0,4.0,162.0,9.05,9902.0,149.0,255.0,2210.0,7407.0,1.0
3000.0,23.0,1.0,1144.0,8.0,1.0,1.0,0.0,1.0,1.0,104.0,16.0,184.0,17.31,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
12500.0,42.0,4.0,1591.0,45.0,2.0,5.0,2.0,1.0,1.0,1226.0,8.0,655.0,11.22,998.0,70.0,33.0,848.0,1579.0,1.0
10000.0,13.0,1.0,1897.0,46.0,1.0,2.0,0.0,0.0,1.0,2277.0,12.0,333.0,11.41,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
40000.0,21.0,1.0,1624.0,10.0,3.0,1.0,0.0,1.0,1.0,329.0,11.0,592.0,12.29,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
42000.0,31.0,1.0,1079.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,17.0,759.0,10.9,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,9.0,1.0,567.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,6.0,209.0,8.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
250000.0,25.0,2.0,2423.0,26.0,1.0,4.0,1.0,0.0,1.0,4977.0,128.0,9356.0,11.08,2600.0,1830.0,72.0,741.0,30.0,1.0
50000.0,37.0,3.0,1474.0,33.0,2.0,4.0,3.0,1.0,0.0,0.0,17.0,579.0,10.66,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
8000.0,7.0,1.0,782.0,5.0,1.0,3.0,1.0,1.0,1.0,835.0,9.0,320.0,11.24,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
78000.0,45.0,1.0,1626.0,3.0,2.0,1.0,10.0,1.0,1.0,589.0,9.0,406.0,9.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
500.0,0.0,1.0,541.0,2.0,1.0,1.0,3.0,1.0,1.0,827.0,4.0,102.0,8.76,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
7500.0,21.0,1.0,1464.0,26.0,3.0,3.0,10.0,1.0,1.0,243.0,21.0,577.0,8.23,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
10000.0,0.0,1.0,707.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,17.0,813.0,10.32,2741.0,380.0,80.0,4818.0,3093.0,1.0
50000.0,14.0,1.0,988.0,69.0,2.0,1.0,3.0,0.0,1.0,1587.0,9.0,392.0,12.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
