MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,AmazonInfo,TitleSimScore,prodDescLength,prodDesc_ColemanLiau,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,negativePercentage,New Backers,Returning Backers,Backers,numberOfRating,rating
15570.0,4000.0,0.0,29.0,1.0,1.0,492.0,82.0,278.0,7.0,3.0,1.0,0.0,0.0,0.0,33.0,25.0,5.0,579.0,7.0,0.0,443.0,10.72,3.0,121.0,9.92,3.89,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,25.217391304299998,436.0,322.0,758.0,36245.0,1.0
883460.0,35000.0,18.0,23.0,31.0,1.0,592.0,9.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,202.0,9.99,7.0,3002.0,10.0,126.0,432.0,10.14,7.0,331.0,8.09,25.24,1672.0,1641.0,53.0,3850.0,1041.0,29.4368600683,124.0,7895.0,8019.0,992.0,1.0
183497.0,26000.0,4.0,24.0,16.0,1.0,294.0,18.0,31.0,1.0,2.0,3.0,0.0,0.0,0.0,41.0,6.88,6.0,265.0,5.0,45.0,0.0,8.0,9.0,539.0,8.58,7.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,32.2085889571,1504.0,3910.0,5414.0,147.0,1.0
20338986.0,500000.0,17.0,33.0,32.0,3.0,2291.0,142.0,109.0,3.0,4.0,3.0,1.0,1.0,1031.0,7.0,56.98,7.0,726.0,6.0,21.0,2047.0,11.71,12.0,282.0,8.68,40.68,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,32.5236907731,35097.0,43374.0,78471.0,1315.0,1.0
2437429.0,250000.0,24.0,83.0,5.0,1.0,930.0,7.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,21.0,499.99,7.0,261.0,7.0,18.0,893.0,12.24,14.0,805.0,11.78,9.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,33.2536837913,4163.0,5359.0,9522.0,496.0,0.0
147444.0,100000.0,0.0,25.0,5.0,1.0,574.0,3.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,44.0,19.99,9.0,3068.0,11.0,32.0,380.0,12.12,10.0,394.0,11.59,1.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,33.8095238095,942.0,1374.0,2316.0,150.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,45.0,15.99,5.0,3012.0,4.0,50.0,467.0,9.15,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,33.6363636364,52.0,437.0,489.0,622.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,45.0,15.99,4.0,2967.0,4.0,53.0,467.0,9.15,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,33.6363636364,52.0,437.0,489.0,309.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,45.0,15.99,4.0,2963.0,4.0,52.0,467.0,9.15,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,33.6363636364,52.0,437.0,489.0,211.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,45.0,15.99,4.0,3017.0,4.0,49.0,467.0,9.15,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,33.6363636364,52.0,437.0,489.0,85.0,1.0
