Id,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
1,Toys Games,25,5,579,4.8
2,Electronics,9.99,7,3002,4.2
3,Home Kitchen,6.88,6,265,4.2
4,Clothing Shoes Jewelry,56.98,7,726,4.1
5,Electronics,499.99,7,261,3.8
6,Home Kitchen,19.99,9,3068,3.9
7,Grocery Gourmet Food,15.99,5,3012,4.2
8,Grocery Gourmet Food,15.99,4,2967,4.1
9,Grocery Gourmet Food,15.99,4,2963,3.9
10,Grocery Gourmet Food,15.99,4,3017,4.1
11,Grocery Gourmet Food,15.99,4,2894,4.2
12,Amazon Launchpad,15.99,4,792,4.1
13,Books,9.73,5,5946,4.3
14,Toys Games,19.99,4,1151,4.5
15,Cell Phones Accessories,8.99,3,4792,2.9
16,Tools Home Improvement,59,9,3923,4
17,Books,9.95,5,2527,3.8
18,Home Kitchen,34.95,6,3025,3.9
19,Home Kitchen,39.5,7,5045,4.1
20,Amazon Launchpad,69.93,9,3778,4.6
21,Movies TV,23.88,1,460,4.7
22,Musical Instruments,182.29,9,1,3.4
23,Beauty Personal Care,15.99,8,2591,4.7
24,Patio Lawn Garden,59.95,9,4346,4.1
25,Baby Products,15.99,5,3432,3.6
26,Handmade,149.99,5,723,4.3
27,Digital Music,7.99,3,2579,4.8
28,Toys Games,24.54,3,1125,4.5
29,Amazon Video,12.99,3,2645,5
30,Electronics,499.99,7,2998,4.2
31,Clothing Shoes Jewelry,23.95,9,4087,4.5
32,Grocery Gourmet Food,25.99,9,3437,4.5
33,Apps Games,79.99,6,1929,4.7
34,Toys Games,49.95,7,1278,4.5
35,Cell Phones Accessories,39.95,7,315,4.4
36,Video Games,94.61,9,1763,2.5
37,Magazine Subscriptions,39.95,1,3322,4
38,Books,60,9,1828,4.3
39,Home Kitchen,167.25,7,4422,4.1
40,Pet Supplies,9.95,9,3889,3.4
41,Electronics,167.99,7,4416,3.8
42,Electronics,19.99,8,4431,2.8
43,Musical Instruments,98.57,9,4672,3.9
44,Digital Music,8.9,7,2805,4.7
45,Home Kitchen,16.7,9,2477,4
46,Industrial Scientific,95.99,9,4115,4
47,Amazon Video,3.99,5,1985,5
48,Baby Products,45,9,2082,3.7
49,Clothing Shoes Jewelry,29.95,9,5367,4.1
50,Toys Games,24.99,3,572,4.6
51,Grocery Gourmet Food,182.29,4,373,4.6
52,Cell Phones Accessories,149.99,7,4011,4.1
53,Digital Music,8.99,9,7355,5
54,Arts Crafts Sewing,229.02,3,4500,3.5
55,Tools Home Improvement,39.98,6,2262,3.3
56,Home Kitchen,325,5,235,4.2
57,Amazon Launchpad,23,4,2872,3.7
58,Video Games,24.99,4,156,1.9
59,Electronics,149.02,7,1420,4.3
60,Amazon Launchpad,14.99,7,4978,4.6
61,Musical Instruments,16.95,4,4852,4.6
62,Electronics,69.99,7,3009,2.6
63,Digital Music,10.49,9,8011,4.4
64,Patio Lawn Garden,31.99,7,3085,4.9
65,Industrial Scientific,379,5,3884,3.8
66,Toys & Games,79.99,6,1929,4.7
67,Clothing Shoes Jewelry,159,8,4000,3.3
68,Patio Lawn Garden,14.95,3,4079,4
69,Musical Instruments,195.66,6,1989,2.9
70,Sports Outdoors,44.95,9,2442,4.3
71,Toys Games,99.99,7,479,4.8
72,Digital Music,9.49,5,2527,4.8
73,Home Kitchen,19.99,7,3680,4.3
74,Health Household,32,6,2988,4.3
75,Grocery Gourmet Food,14.99,9,1532,4.3
76,Cell Phones Accessories,32.8,9,2608,2.5
77,Tools Home Improvement,22.76,8,3344,4
78,Amazon Launchpad,149,7,4042,3.6
79,Books,80,7,4525,4.7
80,Clothing Shoes Jewelry,29.95,9,4956,3.1
81,Electronics,11,9,3156,4
82,Amazon Video,3.99,1,1103,4.6
83,Magazine Subscriptions,8.99,1,1188,4
84,Pet Supplies,32.66,7,4166,3.4
85,Home Kitchen,285.47,9,6857,4.2
86,Patio Lawn Garden,27.28,7,1,4.2
87,Electronics,69.95,2,1316,3.9
88,Digital Music,0.99,9,3778,4.6
89,Digital Music,3.99,7,1155,4.5
90,Musical Instruments,160.22,7,4498,4
91,Home Kitchen,39.99,4,3702,4.1
92,Home Kitchen,28.99,2,3049,3.8
93,Grocery Gourmet Food,23.2,9,3365,4.5
94,Tools Home Improvement,67.88,9,4318,3.1
95,Books,285,7,1701,4.7
96,Home Kitchen,39.89,7,3601,4.1
97,Toys Games,42.7,9,3528,4.1
98,Kindle Store,19.53,4,5504,4.2
99,Amazon Video,9.99,1,54,4.6
99,Amazon Video,4.99,9,8011,4.4
100,Pet Supplies,99.99,7,3852,3.5
101,Cell Phones Accessories,29.95,9,734,4.6
102,Patio Lawn Garden,42.03,8,1871,3.4
103,Sports Outdoors,48,5,5795,5
104,Electronics,29.94,4,5012,4.2
105,Automotive,135,7,6034,3.8
106,Digital Music,0.99,4,0,4.6
107,Grocery Gourmet Food,6.99,7,56,3.5
108,Grocery Gourmet Food,3.99,4,2169,4.1
109,Grocery Gourmet Food,13.48,6,49,4.1
110,Grocery Gourmet Food,3.23,7,155,2.6
111,Grocery Gourmet Food,13.98,6,373,4.7
112,Grocery Gourmet Food,3.99,4,2158,4.1
113,Digital Music,3.96,9,6857,4.2
114,Home Kitchen,7.99,8,2679,4.5
115,Sports Outdoors,36.95,7,2735,4.3
116,Beauty Personal Care,19.96,3,5430,5
117,Home Kitchen,1898.25,7,2306,4.2
118,Electronics,285,7,2940,4.2
119,Digital Music,6.99,6,3528,4.6
120,Toys Games,94.74,6,3528,4
121,Clothing Shoes Jewelry,159,9,4040,3.2
122,Books,195.66,6,971,4.5
123,Pet Supplies,29.26,5,3037,3.9
124,Kindle Store,3.99,8,3344,5
125,Home Kitchen,199,9,4241,3.8
126,Cell Phones Accessories,38.48,7,2105,2.8
127,Patio Lawn Garden,173.99,7,1575,4.3
128,Electronics,129.99,9,2462,4.4
129,Cell Phones Accessories,34.99,9,695,4.2
