left_primary`left_secondary`right_text
Seattle`United States`4,422 backers
London`United Kingdom`3,417 backers
Los Angeles`United States`3,292 backers
San Francisco`United States`3,025 backers
Chicago`United States`2,837 backers
New York`United States`2,633 backers
Toronto`Canada`2,557 backers
Portland`United States`2,270 backers
Austin`United States`2,000 backers
Sydney`Australia`1,998 backers
United States``153,033 backers
Canada``18,462 backers
United Kingdom``11,562 backers
Australia``7,815 backers
Germany``3,137 backers
Netherlands``1,881 backers
Sweden``1,793 backers
New Zealand``1,696 backers
France``1,639 backers
Denmark``1,077 backers
