left_primary`left_secondary`right_text
Portland`United States`77 backers
Seattle`United States`16 backers
New York`United States`6 backers
Vancouver`United States`6 backers
Beaverton`United States`5 backers
Eugene`United States`4 backers
Hillsboro`United States`4 backers
Brooklyn`United States`4 backers
Atlanta`United States`3 backers
Lake Oswego`United States`3 backers
United States``262 backers
Canada``5 backers
Singapore``2 backers
New Zealand``1 backer
Puerto Rico``1 backer
South Africa``1 backer
