left_primary`left_secondary`right_text
New York`United States`34 backers
London`United Kingdom`29 backers
Los Angeles`United States`27 backers
San Francisco`United States`25 backers
Austin`United States`21 backers
Berlin`Germany`20 backers
Toronto`Canada`15 backers
Sydney`Australia`14 backers
Boston`United States`13 backers
San Diego`United States`13 backers
United States``964 backers
Germany``164 backers
United Kingdom``66 backers
Canada``62 backers
Australia``42 backers
Switzerland``20 backers
Japan``16 backers
Netherlands``15 backers
Austria``14 backers
Singapore``14 backers
