left_primary`left_secondary`right_text
New York`United States`2,948 backers
Los Angeles`United States`2,926 backers
Chicago`United States`1,650 backers
London`United Kingdom`1,275 backers
San Francisco`United States`1,251 backers
Seattle`United States`1,232 backers
Toronto`Canada`1,226 backers
Washington`United States`1,197 backers
Austin`United States`1,102 backers
Brooklyn`United States`1,052 backers
United States``66,834 backers
Canada``5,767 backers
United Kingdom``4,417 backers
Australia``2,889 backers
Germany``1,576 backers
France``1,218 backers
Sweden``788 backers
New Zealand``439 backers
Netherlands``399 backers
Ireland``369 backers
