left_primary`left_secondary`right_text
London`United Kingdom`2,351 backers
Singapore`Singapore`2,118 backers
Sydney`Australia`1,077 backers
Melbourne`Australia`1,032 backers
San Francisco`United States`983 backers
New York`United States`901 backers
Tokyo`Japan`860 backers
Toronto`Canada`788 backers
Los Angeles`United States`756 backers
Seattle`United States`543 backers
United States``30,111 backers
United Kingdom``6,406 backers
Germany``4,530 backers
Canada``4,263 backers
Australia``3,660 backers
Singapore``2,120 backers
Japan``1,847 backers
Netherlands``1,809 backers
France``1,617 backers
Spain``1,431 backers
