Id,NumOfBackers,MoneyRaised,AmountPledged,FAQcount,UpdateCount,CommentsCount,ProjectCAtegory,ProjectLocation,ofImages,ofVideos,ofDescText,backersLeastRewards,backersMaxRewards,backedProjects,createdProjects,backerLocation,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,countSuperBacker,commentsText,AmazonCategory,AmazonPrice,AmazonImagesVideo,AmazonProdDescLength,rating
1,758,15570,4000,0,29,115,Tabletop Games,IL,1,1,492,21,82,278,7,IL,3,1,0,0,0,33,35,115,Toys Games,25,5,579,4.8
2,8019,883460,35000,18,23,1170,Hardware,CA,31,1,592,222,9,9,1,CA,4,3,1,0,0,202,60,1172,Electronics,9.99,7,3002,4.2
3,5414,183497,26000,4,24,326,Food,CA,16,1,294,70,18,31,1,CA,2,3,0,0,0,41,58,326,Home Kitchen,6.88,6,265,4.2
4,78471,20338986,500000,17,33,33718,Product Design,CA,32,3,2291,10000,142,109,3,CA,4,3,1,1,1031,7,1181,20050,Clothing Shoes Jewelry,56.98,7,726,4.1
5,9522,2437429,250000,24,83,2508,Gaming Hardware,CA,5,1,930,1009,7,29,1,CA,1,3,0,0,0,21,51,2511,Electronics,499.99,7,261,3.8
6,2316,147444,100000,0,25,210,Design,CA,5,1,574,93,3,29,1,CA,1,3,0,0,0,44,18,210,Home Kitchen,19.99,9,3068,3.9
7,489,15207,10000,4,9,110,Food,NY,7,1,554,4,0,2,1,NY,3,5,0,0,0,45,3,110,Grocery Gourmet Food,15.99,5,3012,4.2
8,489,15207,10000,4,9,110,Food,NY,7,1,554,4,0,2,1,NY,3,8,0,0,0,45,3,110,Grocery Gourmet Food,15.99,4,2967,4.1
9,489,15207,10000,4,9,110,Food,NY,7,1,554,4,0,2,1,NY,3,3,0,0,0,45,3,110,Grocery Gourmet Food,15.99,4,2963,3.9
10,489,15207,10000,4,9,110,Food,NY,7,1,554,4,0,2,1,NY,3,10,0,0,0,45,3,110,Grocery Gourmet Food,15.99,4,3017,4.1
11,489,15207,10000,4,9,110,Food,NY,7,1,554,4,0,2,1,NY,3,3,0,0,0,45,3,110,Grocery Gourmet Food,15.99,4,2894,4.2
