Id,countCreator,countSuperBacker,commentsText
1,33,35,115
10,45,3,110
100,157,384,2348
101,20,4,73
102,92,17,257
103,16,1,41
104,97,59,311
105,3,2,16
106,13,8,530
107,0,0,2
108,0,0,2
109,0,0,2
11,45,3,110
110,0,0,2
111,0,0,2
112,0,0,2
113,5,0,64
114,8,2,28
115,45,20,108
250,52,36,142
251,10,1,76
252,88,34,242
253,135,221,438
254,295,368,17000
255,36,7,112
256,34,0,109
257,53,34,179
258,39,27,114
259,1,1,5
26,75,31,323
260,0,0,1
261,2,0,12
262,81,74,355
263,79,9,212
264,1,0,6
265,3,0,7
266,1,78,405
267,25,97,194
268,12,2,44
269,66,8,215
27,0,0,28
270,416,115,2260
271,8,3,25
272,916,1433,2459
273,416,115,2260
274,40,21,114
275,3,0,7
276,9,8,31
42,54,38,154
43,83,17,233
44,37,9,300
45,15,12,49
46,264,167,2180
47,48,216,20050
48,93,29,263
49,33,6,122
5,21,51,2511
50,24,20,100
51,5,12,90
52,463,201,8807
53,0,6,292
54,14,4,49
55,219,61,629
56,139,234,2412
57,36,8,76
58,196,290,2566
59,423,298,2009
6,44,18,210
61,14,9,62
62,197,75,1032
63,82,17,794
64,91,30,228
65,214,134,904
66,59,3203,14672
67,210,1401,11924
68,9,8,31
69,128,86,685
7,45,3,110
70,17,0,47
71,124,600,6463
72,4,20,714
73,1,78,405
74,19,6,42
75,14,3,37
76,349,22,778
77,2,5,5
78,210,1401,11924
79,7,2,32
80,0,0,0
81,68,71,224
82,9,1,47
83,16,11,59
84,15,5,30
85,55,21,282
86,49,2,113
87,91,27,304
88,13,8,530
89,0,0,1
9,45,3,110
90,62,2,169
91,44,18,210
92,44,18,210
93,6,2,24
94,459,147,1912
95,1,2,40
96,44,18,210
97,212,305,2330
98,8,28,451
99,61,90,412
116,0,0,0
134,0,5,54
152,124,219,1400
170,0,0,4
189,5,18,44
206,4,4,13
224,5,3,47
25,2,4,6
277,5,0,39
295,29,7,127
312,115,34,292
330,2,0,19
349,126,38,541
41,173,45,762
60,48,5,114
8,45,3,110
117,34,5,217
118,202,60,1172
119,14,40,1364
12,45,3,110
120,264,168,2180
121,210,1401,11924
122,6,7,50
123,7,3,53
124,1,0,34
125,169,111,826
126,349,22,778
127,132,55,502
128,59,51,682
129,20,4,73
13,25,4,112
130,298,88,809
131,32,13,72
132,36,27,202
133,0,2,8
135,44,18,210
136,101,39,493
137,20,4,73
138,16,1,41
139,45,20,108
14,8,8433,20050
140,63,24,174
141,0,0,0
142,14,0,69
143,18,4,50
144,160,112,585
145,1,0,41
146,1,0,41
147,0,3,17
148,30,3,86
149,45,25,274
15,41,15,107
150,4,1,36
151,11,6,31
153,142,192,434
154,31,32,102
155,0,0,1
156,18,7,51
157,39,12,265
158,20,13,50
159,54,38,154
16,359,126,854
160,2,8,48
161,34,2,195
162,20,14,56
163,17,57,193
164,416,115,2260
165,44,16,335
166,78,33,430
167,10,3,51
168,147,60,522
169,73,9,217
17,48,25,457
171,20,4,73
172,0,0,2
173,0,0,1
174,1,78,405
175,38,65,156
176,68,71,224
177,70,42,353
178,0,0,0
179,2,0,12
18,86,39,224
180,17,2,40
181,0,0,0
182,34,50,242
183,20,4,73
184,0,0,8
185,0,0,2
186,2,0,41
187,70,42,353
188,263,39,1714
19,56,44,286
190,23,39,110
191,104,39,373
192,24,1,78
193,0,0,1
194,47,74,589
195,2,0,12
196,0,0,0
197,1,78,405
198,42,1,217
199,21,59,3697
2,202,60,1172
20,20,4,73
200,2,4,30
201,11,6,31
202,147,60,522
203,0,1,50
204,3,0,7
205,5,4,23
207,2,1,8
208,63,24,174
209,21,5,70
21,6,1,261
210,10,3,52
211,6,2,24
212,10,1,63
213,61,1,291
214,20,13,50
215,20,4,73
216,10,0,25
217,3,0,15
218,2,7,28
219,123,154,1055
22,128,86,685
220,63,24,174
221,416,115,2260
222,21,15,81
223,2,0,12
225,68,71,224
226,44,12,104
227,59,22,193
228,12,11,70
229,0,1,31
23,26,12,91
230,36,43,186
231,18,9,63
232,19,6,42
233,12,5,53
234,92,17,257
235,74,30,282
236,17,57,193
237,3,0,7
238,1,1,6
239,18,3,52
24,57,17,178
240,104,39,373
241,26,114,567
242,8,4,420
243,79,83,623
244,51,35,344
245,36,15,161
246,19,0,44
247,36,7,112
248,10,2,26
249,7,8,36
278,9,13,72
279,20,13,50
28,75,3,252
280,228,39,600
281,4,1,12
282,416,115,2260
283,18,7,51
284,87,25,250
285,3,0,7
286,50,30,342
287,19,12,112
288,24,2,106
289,0,0,0
29,86,53,604
290,64,229,696
291,189,1380,11800
292,416,115,2260
293,36,0,102
294,45,4,100
296,64,67,343
297,0,1,7
298,115,34,292
299,29,16,333
3,41,58,326
30,202,60,1172
300,1,1,8
301,16,8,78
302,9,1,54
303,82,16,294
304,18,0,151
305,112,80,464
306,79,9,212
307,4,0,28
308,1,0,3
309,4,2,13
31,30,4,117
310,82,16,294
311,39,9,108
313,9,13,72
314,6,4,14
315,1,1,9
316,24,133,391
317,416,115,2260
318,16,1,41
319,64,67,343
32,6,2,24
320,90,35,330
321,157,235,331
322,105,0,256
323,7,6,56
324,64,229,696
325,1,0,3
326,416,115,2260
327,36,0,102
328,158,146,636
329,36,7,112
33,33,14,312
331,47,23,112
332,120,8,343
333,217,69,763
334,71,29,246
335,5,2,24
336,27,1,252
337,1,0,3
338,36,15,81
339,13,45,1358
34,66,9,542
340,115,34,292
341,9,13,72
342,42,31,115
343,70,49,281
344,15,23,38
345,47,23,112
346,10,1,28
347,47,23,112
348,64,229,696
35,20,4,73
350,5,2,24
351,71,29,246
352,1,0,4
353,1,0,4
354,40,74,321
355,64,229,696
356,101,32,427
357,112,31,297
358,64,229,696
359,101,32,427
36,44,19,343
360,1,0,4
361,14,4,41
362,98,21,253
363,112,31,297
364,1,0,3
365,191,76,478
366,115,34,292
367,10,8,22
368,13,45,1358
369,1,0,4
37,3,0,13
370,1,0,4
371,42,17,119
372,36,0,102
373,1,0,4
374,176,360,804
375,123,47,2305
38,2,1,40
39,101,67,802
4,7,1181,20050
40,120,9,476
