Id,prodDescLength,prodDesc_ColemanLiau,noOfRewards,pledgeDescLength,pledge_ColemanLiau
1,443,10.72,3,121,9.92
2,432,10.14,7,331,8.09
3,0,8,9,539,8.58
4,2047,11.71,12,282,8.68
5,893,12.24,14,805,11.78
6,380,12.12,10,394,11.59
7,467,9.15,11,178,11.34
8,467,9.15,11,178,11.34
9,467,9.15,11,178,11.34
10,467,9.15,11,178,11.34
11,467,9.15,11,178,11.34
12,467,9.15,11,178,11.34
13,1441,12.23,8,259,10.22
14,551,10.84,4,162,9.05
15,963,11.12,16,184,17.31
16,1280,11.02,8,655,11.22
17,1518,10.2,12,333,11.41
18,1330,14.16,11,592,12.29
19,798,11.49,17,759,10.9
20,521,11.37,6,209,8.75
21,2214,9.98,128,9356,11.08
22,1207,10.32,17,579,10.66
23,637,11.42,9,320,11.24
24,1350,11.95,9,406,9.28
25,449,8.75,4,102,8.76
26,1263,9.57,21,577,8.23
27,663,7.83,17,813,10.32
28,942,11.18,9,392,12.06
29,608,16.18,23,908,12.17
30,432,10.14,7,331,8.09
31,275,7.75,7,225,10.07
32,494,8.65,8,773,8.59
33,935,11.6,15,609,8.99
34,1412,10.84,12,241,11.93
35,521,11.37,6,209,8.75
36,1147,12.59,10,479,7.46
37,1318,13.41,9,322,12.93
38,885,10.44,13,772,9.05
39,1360,11.08,5,105,11.86
40,77,13.09,9,447,12.65
41,1126,11.15,8,311,10.7
42,902,12.17,14,656,12.04
43,1432,13.98,7,312,11.19
44,2414,9.56,27,1817,8.04
45,1035,12.24,7,287,12.82
46,1717,10.68,16,672,6.95
47,1753,10.02,32,3120,10.62
48,886,12.06,13,354,13.18
49,890,12.41,7,276,12.39
50,1832,10.49,11,481,8.91
51,360,8.82,11,556,7.99
52,2151,8.23,7,253,10.33
53,228,7.71,10,319,9.52
54,1621,9.75,7,383,9.1
55,781,10.03,9,259,12.58
56,2045,12,24,1110,10.37
57,984,9.97,7,191,6.1
58,1374,11.36,24,1200,10.39
59,1442,13.69,11,711,11.31
60,575,10.37,12,376,9.91
61,656,10.79,9,315,11.19
62,1298,9.57,17,467,5.9
63,1223,9.81,43,4191,11.95
64,1236,10.37,10,329,7.33
65,1888,10.5,14,762,10.09
66,970,10.97,2,56,16.39
67,468,12.41,43,1568,10.44
68,1187,10.15,8,134,11.5
69,1207,10.32,17,579,10.66
70,686,10.55,9,541,8.87
71,2563,10.84,13,184,10.7
72,2623,10.04,33,1582,11.77
73,666,10.15,74,3926,11.02
74,606,12.71,11,870,10.21
75,702,12.36,11,544,11.2
76,1281,10.61,16,337,10.42
77,382,11.08,7,89,11.16
78,468,12.41,43,1568,10.44
79,698,10.73,18,890,9.04
80,769,9.63,14,566,7.4
81,1151,10.32,16,457,2.46
82,658,13.75,9,298,11.73
83,3556,13.69,9,388,13.08
84,1166,9.22,8,611,9.43
85,595,12.46,6,521,11.43
86,419,9.8,5,207,8.92
87,743,14.6,14,473,7.75
88,2152,9.92,22,2301,15.09
89,259,8.58,15,191,15.08
90,1110,10.1,1,45,8.01
91,380,12.12,10,394,11.59
92,380,12.12,10,394,11.59
93,494,8.65,8,773,8.59
94,1456,10.26,10,220,5.41
95,870,11.55,5,159,10.37
96,380,12.12,10,394,11.59
97,1227,10.44,18,778,10.49
98,1217,12.4,19,558,12.54
99,1596,11.6,40,2284,10.14
100,588,11.13,16,1659,14.05
101,521,11.37,6,209,8.75
102,538,10.16,11,471,10.22
103,822,11.19,12,424,7.42
104,654,10.61,7,259,9.68
105,1578,9.34,10,389,8.52
106,2152,9.92,22,2301,15.09
107,671,8.23,8,317,7.94
108,671,8.23,8,317,7.94
109,671,8.23,8,317,7.94
110,671,8.23,8,317,7.94
111,671,8.23,8,317,7.94
112,671,8.23,8,317,7.94
113,197,8.58,6,136,7.02
114,834,10.73,9,296,9.17
115,1305,9.04,10,357,10.41
116,1403,10.62,12,766,7.43
117,1520,11.84,11,362,13.45
118,432,10.14,7,331,8.09
119,2048,10.39,24,2752,11.71
120,1717,10.68,16,672,6.95
121,468,12.41,43,1568,10.44
122,1311,12.54,17,1100,11.73
123,4044,10.08,16,1124,9.33
124,1681,11.02,16,567,12.84
125,1119,11.48,13,432,11.94
126,1281,10.61,16,337,10.42
127,1673,10.97,17,969,8.35
128,2271,11.37,11,635,10.84
129,521,11.37,6,209,8.75
130,1121,10.27,12,274,8.41
131,780,12.12,10,239,7.05
132,1437,12.3,17,826,14.78
133,1527,10.9,11,560,8.52
134,391,9.52,40,1776,7.88
135,380,12.12,10,394,11.59
136,1417,8.41,11,372,6.37
137,521,11.37,6,209,8.75
138,822,11.19,12,424,7.42
139,1305,9.04,10,357,10.41
140,889,9.69,9,357,8.2
141,1403,10.62,12,766,7.43
142,376,9.05,7,253,7.76
143,1042,8.22,11,321,8.11
144,2548,12.59,10,296,12.96
145,876,9.93,15,596,12.36
146,876,9.93,15,596,12.36
147,713,15.09,6,214,15.34
148,1550,12.18,8,317,11.53
149,2473,9.69,14,600,8.92
150,1253,13.7,35,1683,12.94
151,194,10.03,9,259,11.03
152,447,11.24,8,334,10.5
153,836,13.69,11,454,9.63
154,1369,10.79,20,1159,5.97
155,232,13.4,9,190,9.52
156,258,7.64,11,226,6.55
157,786,10.03,13,283,10.46
158,345,10.26,10,333,10.28
159,902,12.17,14,656,12.04
160,1035,13.4,13,282,11.25
161,439,25.56,7,233,11.62
162,978,11.83,9,153,14.37
163,1235,13.75,7,212,9.94
164,475,7.36,14,560,10.14
165,1102,9.7,10,241,7.44
166,1774,10.5,12,444,8.81
167,18,11.77,15,453,9.91
168,886,9.57,11,274,7.64
169,2066,10.14,9,262,10.77
170,1434,13.69,7,344,14.72
171,521,11.37,6,209,8.75
172,1416,11.66,17,644,10.72
173,698,10.73,2,66,13.05
174,666,10.15,74,3926,11.02
175,810,12.35,11,446,9.74
176,1151,10.32,16,457,2.46
177,486,12.07,15,483,9.99
178,1403,10.62,12,766,7.43
179,1568,12.71,12,469,12.01
180,1264,10.15,9,259,8.81
181,541,13.65,10,145,13.5
182,1391,12.46,4,91,9.89
183,521,11.37,6,209,8.75
184,578,9.46,15,979,9.97
185,1416,11.66,17,644,10.72
186,545,11.13,8,410,14
187,486,12.07,15,483,9.99
188,2411,10.95,6,472,9.56
189,479,13.98,9,599,10.9
190,394,8.4,25,307,7.97
191,2240,11.2,14,348,9.91
192,3137,13.58,13,697,14.33
193,698,10.73,2,66,13.05
194,886,10.28,7,178,7.66
195,1568,12.71,12,469,12.01
196,1403,10.62,12,766,7.43
197,666,10.15,74,3926,11.02
198,2891,8.87,34,2709,8.45
199,1602,8.94,62,5333,8.76
200,534,11.71,10,266,9.86
201,194,10.03,9,259,11.03
202,886,9.57,11,274,7.64
203,1227,10.44,18,778,10.49
