Id,followers_count,friends_count,public_list_count,tweets_count,likes_count
1,0,0,0,0,0
2,1672,1641,53,3850,1041
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,1530,611,55,2102,582
8,1530,611,55,2102,582
9,1530,611,55,2102,582
10,1530,611,55,2102,582
11,1530,611,55,2102,582
12,1530,611,55,2102,582
13,3019,470,125,2771,1752
14,9902,149,255,2210,7407
15,0,0,0,0,0
16,998,70,33,848,1579
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,2600,1830,72,741,30
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,2741,380,80,4818,3093
28,0,0,0,0,0
29,0,0,0,0,0
30,1672,1641,53,3850,1041
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,247,0,8,16,1
41,16488,208,180,7834,3867
42,19773,1283,47,610,763
43,0,0,0,0,0
44,0,0,0,0,0
45,1703,1471,76,5815,3205
46,0,0,0,0,0
47,66789,355,1121,2165,330
47,69458,245,657,2273,1505
48,2141,459,122,3434,2603
49,0,0,0,0,0
50,1715,464,52,2123,1959
51,0,0,0,0,0
52,27099,267,207,3536,4397
53,39475,490,1033,8497,6301
54,0,0,0,0,0
55,1105,506,124,886,6149
56,106,1,2,28,0
57,0,0,0,0,0
58,0,0,0,0,0
59,2766,862,16,506,1508
60,0,0,0,0,0
61,3207,3645,38,203,285
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,49382,1906,1101,321,16059
73,1786,465,12,611,456
74,3185,251,7,80,69
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,15502,148,635,14528,8177
80,0,0,0,0,0
81,3728,2497,80,1816,6154
82,0,0,0,0,0
83,0,0,0,0,0
84,42,122,3,84,9
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,9454,66,182,4908,204
89,5,10,0,10,5
90,1964,986,64,6428,1578
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,473,211,18,181,109
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,9454,66,182,4908,204
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,1703,1471,76,5815,3205
115,18665,19132,119,2545,3210
116,0,0,0,0,0
117,0,0,0,0,0
118,1672,1641,53,3850,1041
119,1145971,741,11581,89651,742
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,2488,960,168,4632,688
124,24402,318,1006,8664,1958
125,932,200,154,1172,854
126,0,0,0,0,0
127,9729,3183,296,15879,5988
128,21293,5257,688,14774,10940
129,0,0,0,0,0
130,1766,907,227,2596,3226
131,0,0,0,0,0
132,0,0,0,0,0
133,1514,1166,66,2546,3818
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,18665,19132,119,2545,3210
141,0,0,0,0,0
142,0,0,0,0,0
143,0,0,0,0,0
144,1351,991,16,118,112
145,0,0,0,0,0
146,0,0,0,0,0
147,0,0,0,0,0
148,1742,1354,130,2572,1018
149,5910,1655,125,1298,855
150,4329,748,133,4034,1342
151,0,0,0,0,0
152,0,0,0,0,0
153,4039,5001,83,4723,2485
154,3728,2497,80,1816,6154
155,0,0,0,0,0
156,0,0,0,0,0
157,1220,3,93,547,42
158,1512,1149,120,1535,1435
159,19773,1283,47,610,763
160,1762,1347,63,10695,8707
161,0,0,0,0,0
162,0,0,0,0,0
163,0,0,0,0,0
164,4517,614,85,2366,28400
165,0,0,0,0,0
166,2532,1999,88,2326,3373
167,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
170,0,0,0,0,0
171,0,0,0,0,0
172,3281,856,236,8786,2232
173,994,1651,13,440,83
174,1786,465,12,611,456
175,0,0,0,0,0
176,3728,2497,80,1816,6154
177,0,0,0,0,0
178,0,0,0,0,0
179,155,132,31,238,41
180,67,151,6,294,52
181,0,0,0,0,0
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,3281,856,236,8786,2232
186,7125,248,143,1319,110
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,0,0,0,0
191,0,0,0,0,0
192,35858,7257,943,15258,4272
193,994,1651,13,440,83
194,0,0,0,0,0
195,155,132,31,238,41
196,0,0,0,0,0
197,1786,465,12,611,456
198,0,0,0,0,0
199,1776817,205,7898,10937,7084
200,26233,579,961,81679,61447
201,0,0,0,0,0
202,0,0,0,0,0
203,0,0,0,0,0
204,0,0,0,0,0
205,0,0,0,0,0
206,488,1035,18,139,13
207,0,0,0,0,0
209,0,0,0,0,0
210,0,0,0,0,0
211,0,0,0,0,0
212,8035,651,87,2238,652
213,5447,483,128,855,1004
214,1512,1149,120,1535,1435
215,0,0,0,0,0
216,806,848,31,5548,3591
216,962,2845,14,479,424
217,715,497,21,1161,57
218,0,0,0,0,0
219,2532,1999,88,2326,3373
221,4517,614,85,2366,28400
222,0,0,0,0,0
223,155,132,31,238,41
224,0,0,0,0,0
225,3728,2497,80,1816,6154
226,18665,19132,119,2545,3210
227,0,0,0,0,0
228,0,0,0,0,0
229,0,0,0,0,0
230,87,370,9,441,110
231,603,627,38,1756,5749
232,3185,251,7,80,69
233,0,0,0,0,0
234,0,0,0,0,0
235,0,0,0,0,0
236,0,0,0,0,0
